Dataset name: ESA95 National Accounts; Frequency: Quarterly; Adjustment indicator: Neither seasonally nor working day adjusted; Use or asset sector: Total economy including Rest of the World (all sectors); ESA95 account: Gross domestic product at market prices; Resource or liability sector: Total economy; ESA95 breakdown: Total; Nat accounts price reference: Chain linked; Series unit - ESA95 context: National currency; Series suffix - ESA95 context: Main series
,ESA.Q.DE.N.0000.B1QG00.1000.TTTT.L.N.A,ESA.Q.ES.N.0000.B1QG00.1000.TTTT.L.N.A,ESA.Q.FR.N.0000.B1QG00.1000.TTTT.L.N.A,ESA.Q.GB.N.0000.B1QG00.1000.TTTT.L.N.A,ESA.Q.GR.N.0000.B1QG00.1000.TTTT.L.N.A,ESA.Q.IE.N.0000.B1QG00.1000.TTTT.L.N.A,ESA.Q.IT.N.0000.B1QG00.1000.TTTT.L.N.A,ESA.Q.PT.N.0000.B1QG00.1000.TTTT.L.N.A
,Germany,Spain,France,United Kingdom (GB),Greece (GR),Ireland,Italy,Portugal
Collection:,Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S)
Period\Unit:,[Millions of National currency],[Millions of National currency],[Millions of National currency],[Millions of National currency],[Millions of National currency],[Millions of National currency],[Millions of National currency],[Millions of National currency]
2011Q3,622832.00,230383.01,442698.00,,47987.00,,,
2011Q2,604480.70,244388.62,453273.00,313235.43,46496.15,41796.06,357285.13,39770.42
2011Q1,600421.17,235271.91,448199.00,319687.07,43272.94,40952.56,343854.84,37692.45
2010Q4,602367.52,246479.49,456109.00,331090.62,47549.48,40089.67,354581.69,40295.63
2010Q3,607539.25,228732.60,436527.00,322715.89,50605.22,40928.44,352957.92,39427.94
2010Q2,587074.77,242332.11,445634.00,310126.71,50227.98,40844.17,354304.50,40174.89
2010Q1,571782.02,232827.98,437697.00,317493.97,47201.74,40831.70,340506.70,37910.49
2009Q4,580401.57,245971.02,450286.00,325790.64,52021.51,40174.02,350541.02,39858.18
2009Q3,584183.05,228769.78,429094.00,315190.67,53062.70,40805.30,348590.58,39012.87
2009Q2,562439.54,241800.48,437417.00,303070.78,50605.16,41143.45,348110.82,39621.46
2009Q1,557379.03,234491.65,433286.00,315199.85,47024.25,41272.75,337167.69,37154.98
2008Q4,589688.44,252633.85,453566.00,329840.71,52437.61,42505.25,360801.91,40312.56
2008Q3,614935.38,238434.93,440703.00,329716.72,54971.89,43926.05,364228.09,39792.12
2008Q2,607372.42,253157.03,454597.00,318858.69,52927.77,44240.34,373050.13,40839.33
2008Q1,595972.37,243765.43,450337.00,338420.23,49187.73,45012.11,362536.22,38704.82
2007Q4,600921.66,255268.07,463833.00,345378.82,53120.89,46326.79,373404.38,41057.37
2007Q3,608429.01,236381.53,441236.00,334244.35,54979.98,44245.80,369180.59,39615.04
2007Q2,588965.51,248740.66,451019.00,322365.07,52647.30,45009.68,375354.99,40527.39
2007Q1,583849.39,238898.46,444572.00,329561.52,49106.50,45482.90,362263.85,38462.36
2006Q4,588075.75,247084.79,453713.00,334978.14,52919.61,43622.17,372441.23,40135.19
2006Q3,588965.51,228569.90,430333.00,320861.68,53021.11,42864.33,363127.35,38756.00
2006Q2,569724.45,240377.11,441942.00,311986.43,51130.80,43122.84,368658.95,39598.21
2006Q1,559881.48,230331.20,434442.00,319164.51,46678.80,42534.78,354355.81,37452.51
2005Q4,562050.27,237469.35,441764.00,326413.30,49705.20,42177.60,363836.01,39123.98
2005Q3,569057.13,220220.39,419879.00,315409.24,51028.26,40214.65,357011.48,38157.92
2005Q2,556489.27,230553.04,432851.00,304474.07,47599.88,41324.58,362701.11,39363.82
2005Q1,536692.11,221055.23,423553.00,307992.39,44716.51,39744.67,345930.65,37082.59
2004Q4,556489.27,228584.98,435163.00,316682.12,48282.09,40173.73,361437.78,38807.28
2004Q3,562272.71,213139.78,412528.00,308175.15,49630.45,38133.52,353983.53,38011.09
2004Q2,549760.46,221376.26,422980.00,300500.22,46886.89,38723.85,360209.65,38874.61
2004Q1,540807.25,214738.33,416513.00,303315.07,43946.08,38144.63,344534.13,36880.21
2003Q4,551428.76,221827.33,425060.00,305789.19,46217.25,39307.57,357322.13,38212.50
2003Q3,558824.89,205028.48,403345.00,302037.60,47452.61,36311.13,347586.77,37455.53
2003Q2,541029.69,215293.73,409547.00,287642.87,44774.03,37044.87,353023.78,38090.78
2003Q1,532743.80,207981.48,407359.00,297914.98,42402.82,35818.95,340806.07,36473.90
2002Q4,550983.88,214922.51,417961.00,296482.30,43551.86,37056.96,357386.33,38180.20
2002Q3,561772.22,199106.69,400093.00,289884.64,45038.79,35740.38,348368.50,37709.08
2002Q2,546868.74,209400.51,409391.00,282655.14,42284.63,35360.04,354185.28,38768.07
2002Q1,532576.97,201224.10,403191.00,283730.56,39824.68,34395.66,339034.09,36987.63
2001Q4,551539.98,208885.46,413839.00,290055.46,42388.57,34464.76,353420.09,38812.34
2001Q3,556155.61,194455.13,394622.00,282226.25,43360.73,33375.73,345592.81,37645.74
2001Q2,545867.76,203216.04,405628.00,272281.09,40512.05,33693.46,352417.41,38075.02
2001Q1,538471.63,196337.29,401543.00,278343.33,38761.97,33111.27,341221.02,36042.19
2000Q4,544588.73,201606.86,409069.00,282257.48,39901.31,33964.51,352579.24,38107.52
2000Q3,549482.41,187936.15,387123.00,273973.67,41393.69,32225.34,341537.97,37304.52
2000Q2,538471.63,196707.53,397432.00,265378.53,39542.02,32113.48,343873.55,36780.09
2000Q1,526793.53,188224.57,392890.00,267008.66,37539.97,30183.96,329791.15,35478.74
1999Q4,538471.63,192995.82,398056.00,271961.49,,31160.47,341413.51,36529.45
1999Q3,534912.59,180905.52,375000.00,264133.20,,29871.34,329149.28,35890.60
1999Q2,517117.39,186365.51,382071.00,254369.88,,28570.91,332065.42,35685.01
1999Q1,504716.36,176442.04,375081.00,251663.41,,27954.87,316438.11,33986.98
1998Q4,522344.73,184358.64,383960.00,262073.27,,27194.21,330669.31,35455.88
1998Q3,524569.13,172417.24,362722.00,254835.50,,27212.40,325313.29,34594.89
1998Q2,509053.94,177128.74,370608.00,245854.64,,26857.52,329107.53,34233.34
1998Q1,500656.83,169424.70,364157.00,242631.11,,25688.16,314940.15,32241.57
1997Q4,515504.70,178340.56,372146.00,252309.95,,26018.53,330806.65,33557.02
1997Q3,516728.12,163869.15,349926.00,243184.90,,24730.27,320795.36,33002.92
1997Q2,506440.27,169114.60,360272.00,237411.03,,25037.29,324075.10,32716.47
1997Q1,480359.18,161923.24,350703.00,235265.69,,23427.13,306387.22,30686.76
1996Q4,505383.68,169394.76,359799.00,253911.77,,,319801.35,32133.47
1996Q3,508164.18,157456.89,341898.00,242674.76,,,313769.64,31678.02
1996Q2,492704.60,163872.62,351262.00,231144.70,,,316687.81,31347.89
1996Q1,478468.44,157447.50,349473.00,235483.27,,,308243.21,29346.97
1995Q4,499655.85,164480.63,356494.00,245217.16,,,318699.16,31090.83
1995Q3,500490.00,152861.57,336603.00,236534.19,,,310753.39,30270.91
1995Q2,489701.66,161232.65,348748.00,224530.58,,,312590.35,30315.76
1995Q1,479246.98,154300.23,345781.00,229919.11,,,302823.11,28433.26
1994Q4,495596.32,,353013.00,238369.18,,,311981.14,
1994Q3,492704.60,,330280.00,231057.36,,,302780.55,
1994Q2,479580.64,,341621.00,219396.30,,,304402.42,
1994Q1,468625.47,,334888.00,219648.60,,,291477.47,
1993Q4,481026.50,,342749.00,229389.28,,,303498.01,
1993Q3,481916.26,,322410.00,220530.67,,,294058.18,
1993Q2,469125.96,,333967.00,209481.92,,,299351.24,
1993Q1,457781.52,,330797.00,211787.54,,,288231.25,
1992Q4,483139.68,,344338.00,222324.91,,,302243.76,
1992Q3,482972.85,,324074.00,215303.23,,,297193.59,
1992Q2,473074.27,,335120.00,205630.48,,,302681.97,
1992Q1,469682.06,,335329.00,208991.88,,,293640.25,
1991Q4,476077.21,,342344.00,221199.27,,,304715.32,
1991Q3,473241.10,,319760.00,214615.23,,,296564.03,
1991Q2,467124.00,,330300.00,206000.19,,,298360.37,
1991Q1,456724.93,,326953.00,209187.89,,,286948.18,
1990Q4,,,337694.00,223635.89,,,296991.75,
1990Q3,,,315460.00,216130.00,,,290951.30,
1990Q2,,,327187.00,209027.78,,,295441.08,
1990Q1,,,325459.00,214226.11,,,285279.57,
1989Q4,,,332252.00,224457.81,,,295361.46,
1989Q3,,,307516.00,215630.25,,,285155.43,
1989Q2,,,318901.00,206732.83,,,287938.02,
1989Q1,,,313808.00,209526.56,,,276703.48,
1988Q4,,,319184.00,219868.87,,,286877.85,
1988Q3,,,296148.00,210417.37,,,277332.61,
1988Q2,,,305823.00,202090.53,,,277751.37,
1988Q1,,,300188.00,204868.73,,,265665.89,
1987Q4,,,307303.00,211932.13,,,275177.81,
1987Q3,,,281361.00,202474.80,,,266317.30,
1987Q2,,,291466.00,189507.60,,,268535.41,
1987Q1,,,286767.00,193218.34,,,253009.30,
1986Q4,,,296531.00,202890.12,,,266148.37,
1986Q3,,,274835.00,189449.38,,,258959.16,
1986Q2,,,287214.00,183422.34,,,258797.41,
1986Q1,,,281111.00,186592.58,,,246252.66,
1985Q4,,,290478.00,191435.75,,,259397.31,
1985Q3,,,268602.00,184567.39,,,251708.35,
1985Q2,,,279204.00,177209.00,,,251771.26,
1985Q1,,,276270.00,179720.34,,,238637.64,
1984Q4,,,284471.00,186522.71,,,250942.12,
1984Q3,,,263663.00,176515.17,,,244351.02,
1984Q2,,,274694.00,169355.70,,,243983.81,
1984Q1,,,274045.00,174908.22,,,234977.14,
1983Q4,,,280833.00,179982.34,,,247571.61,
1983Q3,,,258458.00,174678.24,,,236506.08,
1983Q2,,,272391.00,165434.39,,,234694.56,
1983Q1,,,269021.00,168667.70,,,225035.99,
1982Q4,,,278181.00,172658.88,,,239053.91,
1982Q3,,,255837.00,166934.60,,,233089.04,
1982Q2,,,269346.00,161679.02,,,235675.71,
1982Q1,,,264193.00,162972.54,,,225082.07,
1981Q4,,,273244.00,168747.27,,,241418.48,
1981Q3,,,249945.00,164708.55,,,231701.33,
1981Q2,,,261477.00,157522.88,,,233722.17,
1981Q1,,,257362.00,158951.28,,,222216.30,
1980Q4,,,267471.00,167667.24,,,,
1980Q3,,,246624.00,165517.85,,,,
1980Q2,,,259750.00,160678.56,,,,
1980Q1,,,258079.00,164070.04,,,,
1979Q4,,,,173842.74,,,,
1979Q3,,,,169329.50,,,,
1979Q2,,,,167495.48,,,,
1979Q1,,,,160923.09,,,,
1978Q4,,,,171665.21,,,,
1978Q3,,,,166449.41,,,,
1978Q2,,,,159630.55,,,,
1978Q1,,,,156284.67,,,,
1977Q4,,,,166466.88,,,,
1977Q3,,,,159141.48,,,,
1977Q2,,,,154640.85,,,,
1977Q1,,,,153291.05,,,,
1976Q4,,,,163438.32,,,,
1976Q3,,,,155542.33,,,,
1976Q2,,,,150101.41,,,,
1976Q1,,,,149729.75,,,,
1975Q4,,,,157666.50,,,,
1975Q3,,,,150349.83,,,,
1975Q2,,,,147005.89,,,,
1975Q1,,,,147887.97,,,,
1974Q4,,,,159414.15,,,,
1974Q3,,,,154616.59,,,,
1974Q2,,,,149682.20,,,,
1974Q1,,,,142963.29,,,,
1973Q4,,,,157995.46,,,,
1973Q3,,,,153500.65,,,,
1973Q2,,,,149916.07,,,,
1973Q1,,,,153335.69,,,,
1972Q4,,,,151506.52,,,,
1972Q3,,,,143564.92,,,,
1972Q2,,,,143091.38,,,,
1972Q1,,,,135318.63,,,,
1971Q4,,,,146286.84,,,,
1971Q3,,,,139649.44,,,,
1971Q2,,,,136884.82,,,,
1971Q1,,,,130432.76,,,,
1970Q4,,,,142930.29,,,,
1970Q3,,,,136915.87,,,,
1970Q2,,,,134335.63,,,,
1970Q1,,,,127726.37,,,,
1969Q4,,,,138785.80,,,,
1969Q3,,,,133018.83,,,,
1969Q2,,,,131609.83,,,,
1969Q1,,,,126599.76,,,,
1968Q4,,,,135756.27,,,,
1968Q3,,,,130773.36,,,,
1968Q2,,,,127820.50,,,,
1968Q1,,,,124902.56,,,,
1967Q4,,,,129187.76,,,,
1967Q3,,,,124898.68,,,,
1967Q2,,,,124536.73,,,,
1967Q1,,,,119700.35,,,,
1966Q4,,,,125030.65,,,,
1966Q3,,,,121968.13,,,,
1966Q2,,,,121239.37,,,,
1966Q1,,,,118090.49,,,,
1965Q4,,,,123776.92,,,,
1965Q3,,,,119548.97,,,,
1965Q2,,,,118924.04,,,,
1965Q1,,,,114891.14,,,,
1964Q4,,,,121721.65,,,,
1964Q3,,,,117207.44,,,,
1964Q2,,,,116455.40,,,,
1964Q1,,,,111361.87,,,,
1963Q4,,,,117080.32,,,,
1963Q3,,,,111889.75,,,,
1963Q2,,,,111234.75,,,,
1963Q1,,,,102292.69,,,,
1962Q4,,,,97102.31,,,,
1962Q3,,,,94774.68,,,,
1962Q2,,,,94549.84,,,,
1962Q1,,,,89661.46,,,,
1961Q4,,,,95265.82,,,,
1961Q3,,,,92891.20,,,,
1961Q2,,,,93961.95,,,,
1961Q1,,,,90083.50,,,,
1960Q4,,,,94298.28,,,,
1960Q3,,,,91121.07,,,,
1960Q2,,,,90733.13,,,,
1960Q1,,,,87640.69,,,,
1959Q4,,,,91254.68,,,,
1959Q3,,,,86731.20,,,,
1959Q2,,,,85755.37,,,,
1959Q1,,,,81653.92,,,,
1958Q4,,,,85794.07,,,,
1958Q3,,,,82973.46,,,,
1958Q2,,,,81760.81,,,,
1958Q1,,,,80714.02,,,,
1957Q4,,,,84371.32,,,,
1957Q3,,,,81932.20,,,,
1957Q2,,,,83293.21,,,,
1957Q1,,,,80592.39,,,,
1956Q4,,,,84205.46,,,,
1956Q3,,,,80628.33,,,,
1956Q2,,,,81490.82,,,,
1956Q1,,,,78476.70,,,,
1955Q4,,,,83301.50,,,,
1955Q3,,,,81932.20,,,,
1955Q2,,,,78929.14,,,,
1955Q1,,,,77650.15,,,,