"Dataset name: Short-Term Statistics; Frequency: Monthly; Adjustment indicator: Seasonally adjusted, not working day adjusted; Concept - STS context: Standardised unemployment; Classification - STS context: Rate, Total (all ages), Total (male & female); Institution originating the data flow: Eurostat; Series variation - STS context: unspecified"
,STS.M.AT.S.UNEH.RTT000.4.000,STS.M.BE.S.UNEH.RTT000.4.000,STS.M.DE.S.UNEH.RTT000.4.000,STS.M.ES.S.UNEH.RTT000.4.000,STS.M.FI.S.UNEH.RTT000.4.000,STS.M.FR.S.UNEH.RTT000.4.000,STS.M.GR.S.UNEH.RTT000.4.000,STS.M.IE.S.UNEH.RTT000.4.000,STS.M.IT.S.UNEH.RTT000.4.000,STS.M.LU.S.UNEH.RTT000.4.000,STS.M.NL.S.UNEH.RTT000.4.000,STS.M.PT.S.UNEH.RTT000.4.000
,Austria,Belgium,Germany,Spain,Finland,France,Greece (GR),Ireland,Italy,Luxembourg,Netherlands,Portugal
Collection:,Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[N.A],[N.A],[N.A],[N.A],[N.A],[N.A],[N.A],[N.A],[N.A],[N.A],[N.A],[N.A]
2011Oct,4.130000,6.590000,5.530000,22.830000,7.760000,9.840000,16.484,14.260000,8.520000,4.690000,4.780000,12.940000
2011Sep,3.940000,6.670000,5.680000,22.530000,7.770000,9.810000,16.484,14.260000,8.330000,4.760000,4.540000,12.770000
2011Aug,3.730000,6.810000,5.790000,22.130000,7.780000,9.820000,18.290000,14.480000,7.980000,4.740000,4.380000,12.620000
2011Jul,3.740000,6.920000,5.870000,21.800000,7.800000,9.810000,17.740000,14.530000,8.190000,4.750000,4.330000,12.560000
2011Jun,3.940000,6.980000,5.940000,21.340000,7.810000,9.770000,17.130000,14.370000,8.040000,4.580000,4.140000,12.540000
2011May,4.210000,7.020000,6.010000,20.970000,7.830000,9.690000,16.820000,14.220000,8.200000,4.570000,4.250000,12.610000
2011Apr,4.150000,7.000000,6.090000,20.770000,7.880000,9.680000,16.060000,14.200000,8.140000,4.510000,4.170000,12.530000
2011Mar,4.290000,6.980000,6.190000,20.710000,7.960000,9.690000,15.650000,14.200000,8.180000,4.520000,4.170000,12.440000
2011Feb,4.510000,7.050000,6.310000,20.600000,7.990000,9.710000,14.990000,14.290000,8.200000,4.510000,4.280000,12.390000
2011Jan,4.450000,7.300000,6.450000,20.460000,8.020000,9.710000,14.650000,14.400000,8.220000,4.530000,4.270000,12.370000
2010Dec,4.210000,7.640000,6.580000,20.380000,8.050000,9.700000,14.370000,14.550000,8.300000,4.770000,4.310000,12.370000
2010Nov,4.220000,7.920000,6.680000,20.440000,8.070000,9.700000,14.050000,14.320000,8.170000,4.700000,4.360000,12.320000
2010Oct,4.190000,8.070000,6.750000,20.490000,8.110000,9.720000,13.900000,14.190000,8.400000,4.570000,4.380000,12.290000
2010Sep,4.310000,8.200000,6.810000,20.490000,8.180000,9.770000,13.350000,13.900000,8.020000,4.490000,4.430000,12.270000
2010Aug,4.460000,8.340000,6.860000,20.400000,8.280000,9.790000,12.930000,13.700000,8.170000,4.450000,4.510000,12.200000
2010Jul,4.490000,8.480000,6.920000,20.300000,8.370000,9.750000,12.610000,13.590000,8.340000,4.430000,4.560000,12.100000
2010Jun,4.460000,8.490000,7.020000,20.260000,8.430000,9.770000,12.460000,13.590000,8.390000,4.480000,4.510000,12.050000
2010May,4.480000,8.480000,7.160000,20.130000,8.500000,9.810000,12.140000,13.550000,8.700000,4.400000,4.490000,11.990000
2010Apr,4.540000,8.500000,7.310000,19.880000,8.580000,9.810000,11.730000,13.380000,8.830000,4.500000,4.480000,11.910000
2010Mar,4.530000,8.450000,7.450000,19.570000,8.640000,9.840000,11.380000,13.200000,8.500000,4.620000,4.520000,11.760000
2010Feb,4.450000,8.400000,7.550000,19.330000,8.710000,9.910000,11.010000,13.080000,8.550000,4.660000,4.490000,11.550000
2010Jan,4.440000,8.320000,7.610000,19.160000,8.750000,9.980000,10.740000,13.060000,8.510000,4.640000,4.530000,11.590000
2009Dec,4.600000,8.240000,7.650000,19.100000,8.760000,9.950000,10.320000,12.890000,8.370000,4.820000,4.380000,11.320000
2009Nov,4.810000,8.090000,7.700000,19.000000,8.750000,10.030000,10.360000,12.740000,8.300000,4.810000,4.240000,11.270000
2009Oct,5.120000,8.040000,7.760000,18.940000,8.700000,9.960000,10.030000,12.650000,8.150000,4.920000,4.070000,11.190000
2009Sep,5.140000,8.100000,7.840000,18.840000,8.640000,9.700000,9.840000,12.670000,8.170000,4.960000,4.040000,11.100000
2009Aug,5.010000,8.140000,7.910000,18.550000,8.590000,9.570000,9.570000,12.520000,7.850000,5.050000,3.900000,11.040000
2009Jul,4.990000,8.010000,7.960000,18.300000,8.520000,9.500000,9.830000,12.330000,7.890000,5.140000,3.810000,10.910000
2009Jun,4.970000,7.830000,7.960000,18.050000,8.410000,9.500000,9.300000,12.080000,7.800000,5.270000,3.600000,10.670000
2009May,4.720000,7.670000,7.920000,17.890000,8.230000,9.510000,9.130000,11.810000,7.490000,5.270000,3.540000,10.460000
2009Apr,4.740000,7.720000,7.860000,17.650000,7.980000,9.400000,9.020000,11.470000,7.520000,5.310000,3.480000,10.320000
2009Mar,4.600000,7.790000,7.770000,17.340000,7.690000,9.230000,8.890000,11.030000,7.620000,5.430000,3.250000,10.120000
2009Feb,4.340000,7.670000,7.650000,16.690000,7.380000,8.980000,8.850000,10.430000,7.210000,5.390000,3.190000,9.820000
2009Jan,4.330000,7.460000,7.500000,15.840000,7.090000,8.670000,8.700000,9.570000,7.250000,5.400000,3.120000,9.380000
2008Dec,4.460000,7.120000,7.330000,14.880000,6.860000,8.390000,8.330000,8.520000,6.960000,5.280000,3.090000,8.920000
2008Nov,4.140000,6.970000,7.180000,14.000000,6.700000,8.170000,7.900000,7.950000,7.110000,5.170000,3.000000,8.650000
2008Oct,3.740000,7.070000,7.090000,13.140000,6.600000,8.010000,7.600000,7.520000,6.910000,5.120000,3.020000,8.510000
2008Sep,3.730000,7.260000,7.090000,12.330000,6.520000,7.920000,7.560000,7.170000,6.820000,5.130000,3.070000,8.630000
2008Aug,3.760000,7.350000,7.180000,11.760000,6.440000,7.830000,7.640000,6.850000,6.810000,5.070000,2.980000,8.740000
2008Jul,3.590000,7.270000,7.330000,11.350000,6.370000,7.790000,7.520000,6.410000,6.570000,4.990000,3.040000,8.640000
2008Jun,3.480000,6.920000,7.500000,10.970000,6.310000,7.720000,7.500000,5.860000,7.000000,4.930000,3.110000,8.550000
2008May,3.540000,6.730000,7.650000,10.490000,6.250000,7.620000,7.420000,5.480000,6.780000,4.870000,3.100000,8.390000
2008Apr,3.510000,6.750000,7.760000,9.950000,6.220000,7.600000,7.670000,5.220000,6.890000,4.690000,3.090000,8.250000
2008Mar,3.650000,6.810000,7.860000,9.410000,6.240000,7.560000,7.780000,5.160000,6.450000,4.430000,3.000000,8.220000
2008Feb,3.980000,6.950000,7.970000,9.240000,6.300000,7.550000,7.820000,4.960000,6.660000,4.460000,3.020000,8.340000
2008Jan,4.090000,7.070000,8.080000,9.030000,6.390000,7.640000,7.720000,4.890000,6.540000,4.290000,3.240000,8.400000
2007Dec,4.040000,7.160000,8.200000,8.830000,6.510000,7.760000,7.860000,4.890000,6.640000,4.220000,3.290000,8.510000
2007Nov,4.140000,7.140000,8.320000,8.650000,6.630000,7.890000,7.910000,4.860000,6.140000,4.160000,3.340000,8.590000
2007Oct,4.250000,7.070000,8.410000,8.490000,6.730000,8.050000,8.140000,4.710000,6.050000,4.090000,3.370000,8.680000
2007Sep,4.380000,6.890000,8.480000,8.440000,6.810000,8.200000,8.220000,4.530000,5.990000,4.020000,3.410000,8.750000
2007Aug,4.710000,6.980000,8.530000,8.370000,6.860000,8.300000,8.220000,4.380000,6.040000,4.060000,3.450000,8.860000
2007Jul,4.650000,7.160000,8.600000,8.200000,6.890000,8.380000,8.260000,4.370000,6.300000,4.050000,3.600000,8.910000
2007Jun,4.480000,7.500000,8.680000,8.050000,6.910000,8.350000,8.270000,4.420000,6.000000,4.140000,3.490000,8.970000
2007May,4.620000,7.930000,8.780000,7.930000,6.930000,8.440000,8.340000,4.440000,6.110000,4.120000,3.620000,8.990000
2007Apr,4.610000,8.050000,8.890000,7.960000,6.970000,8.520000,8.480000,4.510000,5.860000,4.220000,3.630000,9.120000
2007Mar,4.420000,7.870000,9.020000,8.040000,7.040000,8.670000,8.630000,4.560000,6.020000,4.350000,3.760000,9.180000
2007Feb,4.350000,7.860000,9.200000,8.120000,7.120000,8.790000,8.620000,4.590000,6.050000,4.400000,3.960000,9.170000
2007Jan,4.410000,7.910000,9.400000,8.220000,7.180000,8.860000,8.660000,4.480000,6.170000,4.460000,3.960000,9.180000
2006Dec,4.420000,7.950000,9.590000,8.300000,7.260000,8.880000,8.790000,4.400000,6.100000,4.590000,4.030000,9.240000
2006Nov,4.450000,8.030000,9.760000,8.330000,7.370000,8.930000,8.800000,4.340000,6.520000,4.570000,4.150000,9.100000
2006Oct,4.410000,7.970000,9.890000,8.360000,7.480000,9.010000,8.340000,4.400000,6.480000,4.590000,4.130000,8.850000
2006Sep,4.480000,7.950000,9.990000,8.390000,7.580000,9.050000,8.620000,4.530000,6.590000,4.670000,4.090000,8.580000
2006Aug,4.380000,7.870000,10.050000,8.480000,7.660000,9.170000,8.610000,4.630000,6.610000,4.560000,4.130000,8.390000
2006Jul,4.550000,8.050000,10.120000,8.510000,7.720000,9.250000,8.730000,4.560000,6.550000,4.510000,4.240000,8.320000
2006Jun,4.720000,8.420000,10.210000,8.520000,7.780000,9.330000,8.900000,4.450000,6.660000,4.540000,4.250000,8.370000
2006May,4.690000,8.610000,10.320000,8.590000,7.840000,9.400000,9.000000,4.380000,7.050000,4.570000,4.450000,8.430000
2006Apr,4.860000,8.610000,10.440000,8.620000,7.880000,9.470000,9.100000,4.390000,6.930000,4.610000,4.480000,8.390000
2006Mar,5.190000,8.570000,10.540000,8.660000,7.920000,9.500000,9.060000,4.430000,7.190000,4.760000,4.640000,8.340000
2006Feb,5.290000,8.550000,10.630000,8.670000,7.990000,9.520000,9.360000,4.480000,7.400000,4.650000,4.820000,8.410000
2006Jan,5.200000,8.490000,10.730000,8.700000,8.050000,9.500000,9.330000,4.450000,7.210000,4.610000,4.880000,8.550000
2005Dec,5.150000,8.500000,10.850000,8.750000,8.100000,9.470000,9.490000,4.370000,7.440000,4.580000,5.090000,8.750000
2005Nov,5.200000,8.470000,11.010000,8.730000,8.130000,9.450000,9.600000,4.340000,7.520000,4.510000,5.140000,8.890000
2005Oct,5.270000,8.490000,11.170000,8.690000,8.130000,9.430000,9.860000,4.320000,7.650000,4.530000,5.200000,8.940000
2005Sep,5.080000,8.530000,11.280000,8.630000,8.160000,9.390000,10.020000,4.350000,7.710000,4.570000,5.210000,8.930000
2005Aug,5.120000,8.470000,11.330000,8.720000,8.230000,9.360000,10.020000,4.420000,7.770000,4.500000,5.240000,8.760000
2005Jul,5.360000,8.520000,11.330000,8.920000,8.290000,9.320000,10.010000,4.500000,7.470000,4.500000,5.320000,8.610000
2005Jun,5.410000,8.490000,11.340000,9.150000,8.340000,9.270000,9.930000,4.600000,7.890000,4.600000,5.350000,8.510000
2005May,5.300000,8.600000,11.390000,9.410000,8.400000,9.240000,9.900000,4.620000,7.540000,4.680000,5.490000,8.390000
2005Apr,5.140000,8.440000,11.490000,9.620000,8.470000,9.170000,9.910000,4.490000,7.850000,4.710000,5.450000,8.310000
2005Mar,5.010000,8.480000,11.420000,9.720000,8.540000,9.130000,9.920000,4.310000,7.820000,4.670000,5.450000,8.290000
2005Feb,4.960000,8.400000,11.430000,9.800000,8.610000,9.110000,9.910000,4.150000,7.920000,4.780000,5.430000,8.260000
2005Jan,5.000000,8.300000,11.340000,9.910000,8.670000,9.150000,10.080000,4.210000,7.830000,4.770000,5.290000,8.110000
2004Dec,5.020000,8.260000,11.190000,10.040000,8.670000,9.230000,10.210000,4.420000,7.910000,4.940000,5.290000,7.950000
2004Nov,5.000000,8.350000,11.000000,10.210000,8.660000,9.300000,10.330000,4.470000,7.990000,5.020000,5.150000,7.840000
2004Oct,5.030000,8.610000,10.840000,10.350000,8.650000,9.290000,10.240000,4.470000,7.830000,4.940000,5.150000,7.820000
2004Sep,5.120000,8.920000,10.710000,10.570000,8.680000,9.290000,10.310000,4.320000,7.940000,5.080000,5.050000,7.930000
2004Aug,4.940000,8.910000,10.610000,10.680000,8.750000,9.280000,10.340000,4.170000,7.840000,5.060000,5.070000,7.830000
2004Jul,4.740000,8.590000,10.520000,10.710000,8.820000,9.230000,10.460000,4.170000,7.940000,5.040000,5.110000,7.740000
2004Jun,4.770000,8.030000,10.410000,10.790000,8.900000,9.210000,10.460000,4.300000,8.010000,5.010000,5.230000,7.580000
2004May,4.820000,7.770000,10.300000,10.800000,8.980000,9.200000,10.520000,4.430000,8.200000,4.960000,5.250000,7.430000
2004Apr,4.850000,7.830000,10.170000,10.810000,9.020000,9.200000,10.540000,4.600000,8.010000,5.030000,5.170000,7.260000
2004Mar,4.860000,8.300000,10.060000,10.660000,9.000000,9.230000,10.720000,4.830000,8.260000,4.910000,4.960000,7.120000
2004Feb,4.960000,8.540000,9.960000,10.750000,8.970000,9.240000,10.780000,4.910000,8.020000,4.720000,4.820000,6.960000
2004Jan,5.180000,8.630000,9.890000,10.870000,8.960000,9.230000,10.990000,4.810000,8.290000,4.660000,4.790000,7.010000
2003Dec,4.500000,8.550000,9.840000,10.980000,8.970000,9.240000,9.880000,4.540000,8.170000,4.410000,4.730000,7.240000
2003Nov,4.450000,8.430000,9.820000,10.960000,8.970000,9.160000,9.850000,4.440000,8.190000,4.310000,4.590000,7.310000
2003Oct,4.440000,8.360000,9.810000,11.060000,8.960000,9.130000,9.850000,4.520000,8.200000,4.230000,4.480000,7.290000
2003Sep,4.420000,8.190000,9.820000,11.140000,8.980000,9.070000,9.700000,4.710000,8.350000,4.090000,4.380000,7.190000
2003Aug,4.380000,8.050000,9.850000,11.160000,9.010000,8.880000,9.680000,4.800000,8.370000,3.910000,4.300000,7.030000
2003Jul,4.350000,8.100000,9.890000,11.160000,9.080000,8.950000,9.690000,4.750000,8.370000,3.850000,4.200000,7.090000
2003Jun,4.300000,8.110000,9.900000,11.100000,9.150000,8.930000,9.700000,4.610000,8.520000,3.730000,4.130000,7.150000
2003May,4.190000,8.130000,9.880000,11.000000,9.180000,8.920000,9.700000,4.480000,8.500000,3.650000,4.030000,7.210000
2003Apr,4.090000,8.170000,9.820000,11.050000,9.170000,8.930000,9.730000,4.500000,8.450000,3.480000,3.930000,7.200000
2003Mar,4.070000,8.140000,9.730000,11.180000,9.160000,8.910000,9.690000,4.440000,8.690000,3.370000,3.780000,7.070000
2003Feb,4.060000,8.120000,9.630000,11.220000,9.120000,8.900000,9.720000,4.550000,8.730000,3.280000,3.620000,6.970000
2003Jan,4.100000,8.010000,9.510000,11.240000,9.070000,8.870000,9.800000,4.710000,8.770000,3.190000,3.550000,6.930000
2002Dec,4.130000,7.840000,9.300000,11.240000,9.030000,8.990000,9.970000,4.930000,8.410000,3.040000,3.550000,6.930000
2002Nov,4.130000,7.760000,9.170000,11.240000,9.010000,8.900000,9.990000,4.940000,8.450000,2.940000,3.450000,6.840000
2002Oct,4.180000,7.690000,9.040000,11.270000,9.030000,8.830000,10.010000,4.790000,8.480000,2.900000,3.370000,6.530000
2002Sep,4.250000,7.660000,8.910000,11.320000,9.070000,8.790000,10.220000,4.480000,8.570000,2.750000,3.260000,6.120000
2002Aug,4.240000,7.610000,8.800000,11.330000,9.100000,8.740000,10.240000,4.260000,8.600000,2.750000,3.170000,5.800000
2002Jul,4.210000,7.610000,8.690000,11.280000,9.130000,8.680000,10.280000,4.220000,8.650000,2.660000,3.100000,5.610000
2002Jun,4.220000,7.430000,8.590000,11.060000,9.160000,8.600000,10.270000,4.350000,8.780000,2.540000,3.010000,5.510000
2002May,4.240000,7.360000,8.490000,11.020000,9.180000,8.530000,10.320000,4.400000,8.820000,2.500000,2.940000,5.380000
2002Apr,4.230000,7.310000,8.410000,10.990000,9.160000,8.460000,10.340000,4.370000,8.860000,2.310000,2.870000,5.220000
2002Mar,4.190000,7.360000,8.350000,10.910000,9.120000,8.410000,10.670000,4.370000,8.500000,2.180000,2.800000,4.990000
2002Feb,4.160000,7.330000,8.300000,11.110000,9.100000,8.380000,10.710000,4.260000,8.530000,2.120000,2.740000,4.800000
2002Jan,4.120000,7.320000,8.250000,10.690000,9.100000,8.390000,10.740000,4.160000,8.560000,2.100000,2.680000,4.710000
2001Dec,4.050000,7.340000,8.120000,10.480000,9.100000,8.390000,10.830000,4.080000,8.830000,1.990000,2.640000,4.650000
2001Nov,3.950000,7.220000,8.060000,10.340000,9.110000,8.360000,10.870000,4.150000,8.870000,1.960000,2.600000,4.630000
2001Oct,3.840000,7.100000,7.990000,10.250000,9.120000,8.310000,10.910000,4.130000,8.900000,1.940000,2.570000,4.610000
2001Sep,3.740000,6.610000,7.930000,10.230000,9.120000,8.270000,10.590000,4.170000,9.000000,1.880000,2.550000,4.600000
2001Aug,3.670000,6.280000,7.880000,10.290000,9.110000,8.270000,10.630000,4.150000,9.040000,1.910000,2.540000,4.600000
2001Jul,3.600000,6.200000,7.820000,10.270000,9.100000,8.250000,10.670000,4.010000,9.090000,1.900000,2.530000,4.620000
2001Jun,3.530000,6.440000,7.770000,10.330000,9.100000,8.240000,10.660000,3.810000,9.080000,1.900000,2.530000,4.630000
2001May,3.450000,6.560000,7.730000,10.560000,9.120000,8.270000,10.680000,3.720000,9.130000,1.850000,2.550000,4.550000
2001Apr,3.410000,6.480000,7.710000,10.360000,9.150000,8.290000,10.730000,3.700000,9.180000,1.860000,2.580000,4.530000
2001Mar,3.430000,6.290000,7.720000,10.460000,9.180000,8.330000,10.500000,3.740000,9.310000,1.860000,2.610000,4.580000
2001Feb,3.450000,6.250000,7.730000,10.500000,9.210000,8.380000,10.510000,3.780000,9.350000,1.840000,2.650000,4.510000
2001Jan,3.410000,6.310000,7.760000,10.310000,9.240000,8.430000,10.510000,3.770000,9.390000,1.880000,2.680000,4.350000
2000Dec,3.360000,6.470000,7.790000,10.540000,9.280000,8.490000,10.650000,3.730000,9.570000,1.970000,2.740000,4.130000
2000Nov,3.400000,6.630000,7.820000,10.660000,9.340000,8.580000,10.660000,3.740000,9.600000,2.010000,2.800000,4.090000
2000Oct,3.390000,6.730000,7.850000,10.740000,9.410000,8.680000,10.630000,3.810000,9.630000,2.060000,2.850000,4.180000
2000Sep,3.420000,6.760000,7.880000,10.770000,9.450000,8.800000,11.200000,3.940000,9.940000,2.240000,2.900000,4.420000
2000Aug,3.470000,6.860000,7.920000,10.850000,9.470000,8.900000,11.250000,4.060000,9.980000,2.300000,2.960000,4.600000
2000Jul,3.510000,6.730000,7.960000,10.990000,9.490000,8.930000,11.290000,4.160000,10.030000,2.270000,3.010000,4.630000
2000Jun,3.610000,6.780000,8.000000,11.080000,9.540000,9.000000,11.410000,4.290000,10.210000,2.330000,3.060000,4.450000
2000May,3.660000,6.850000,8.050000,11.230000,9.620000,9.110000,11.470000,4.380000,10.260000,2.370000,3.120000,4.420000
2000Apr,3.750000,6.970000,8.100000,11.350000,9.730000,9.230000,11.510000,4.480000,10.310000,2.330000,3.170000,4.470000
2000Mar,3.890000,7.050000,8.140000,11.460000,9.850000,9.370000,11.560000,4.500000,10.520000,2.380000,3.210000,4.660000
2000Feb,3.960000,7.250000,8.190000,11.620000,9.930000,9.490000,11.580000,4.620000,10.550000,2.350000,3.250000,4.790000
2000Jan,3.930000,7.430000,8.240000,11.740000,9.970000,9.590000,11.520000,4.750000,10.600000,2.360000,3.280000,4.820000
1999Dec,3.910000,7.570000,8.290000,11.780000,10.000000,9.720000,12.330000,4.920000,10.650000,2.390000,3.320000,4.710000
1999Nov,3.930000,7.690000,8.340000,11.870000,10.030000,9.850000,12.370000,5.040000,10.690000,2.370000,3.360000,4.640000
1999Oct,3.880000,7.810000,8.390000,11.970000,10.050000,9.960000,12.280000,5.190000,10.720000,2.420000,3.400000,4.630000
1999Sep,3.890000,7.980000,8.450000,12.170000,10.060000,10.110000,12.040000,5.290000,10.900000,2.440000,3.440000,4.670000
1999Aug,3.900000,8.280000,8.510000,12.290000,10.090000,10.240000,12.070000,5.390000,10.930000,2.430000,3.470000,4.890000
1999Jul,3.900000,8.480000,8.560000,12.360000,10.150000,10.370000,12.040000,5.560000,10.960000,2.410000,3.510000,5.100000
1999Jun,3.900000,8.740000,8.620000,12.450000,10.230000,10.510000,11.980000,5.730000,11.040000,2.370000,3.550000,5.320000
1999May,3.950000,8.900000,8.680000,12.560000,10.320000,10.590000,12.030000,5.860000,11.070000,2.380000,3.600000,5.380000
1999Apr,3.980000,8.960000,8.740000,12.750000,10.410000,10.680000,12.060000,5.960000,11.110000,2.390000,3.650000,5.330000
1999Mar,4.000000,9.010000,8.810000,12.990000,10.500000,10.760000,11.430000,6.090000,11.070000,2.410000,3.700000,5.170000
1999Feb,4.020000,9.050000,8.880000,13.280000,10.600000,10.790000,11.450000,6.270000,11.090000,2.430000,3.750000,5.110000
